user_image,1.jpg,10.jpg,11.jpg,12.jpg,13.jpg,14.jpg,15.jpg,16.jpg,17.jpg,18.jpg,19.jpg,2.jpg,20.jpg,21.jpg,22.jpg,23.jpg,24.jpg,25.jpg,26.jpg,27.jpg,28.jpg,29.jpg,3.jpg,30.jpg,31.jpg,32.jpg,33.jpg,34.jpg,35.jpg,36.jpg,37.jpg,38.jpg,39.jpg,4.jpg,40.jpg,41.jpg,42.jpg,43.jpg,44.jpg,45.jpg,46.jpg,47.jpg,48.jpg,49.jpg,5.jpg,50.jpg,6.jpg,7.jpg,8.jpg,9.jpg
1.jpg,1.0000002,0.7124773,0.6317635,0.69603145,0.8003253,0.49693763,0.66831946,0.6455481,0.69266915,0.5290618,0.72316194,0.44228598,0.53285134,0.5916127,0.6084,0.54312927,0.65831983,0.6283202,0.7438575,0.6426067,0.5391141,0.65827173,0.59397626,0.80034494,0.62437403,0.72497785,0.6270981,0.6242817,0.54735494,0.45739305,0.68543017,0.61800027,0.5341121,0.76879066,0.63300985,0.6692243,0.5867541,0.5339023,0.52769184,0.51968896,0.5528853,0.6204847,0.54751146,0.5981868,0.68014765,0.77216303,0.6201508,0.59678483,0.7184441,0.52734554
10.jpg,0.7124773,1.0,0.7011647,0.782946,0.7734079,0.6327629,0.7476858,0.76771975,0.8185309,0.64134085,0.6928318,0.424488,0.5769491,0.64547384,0.668134,0.5870571,0.6656512,0.68237007,0.7480389,0.6874457,0.61265177,0.7482033,0.6617322,0.8180816,0.7505624,0.8261694,0.6600574,0.75232613,0.6276143,0.5066499,0.74443555,0.73774457,0.6674945,0.80627304,0.79086053,0.74669015,0.67180455,0.6314492,0.6160509,0.6496484,0.6437111,0.7236601,0.5760108,0.64967823,0.72727585,0.657843,0.6413778,0.68184125,0.7733433,0.57547563
11.jpg,0.6317635,0.7011647,0.99999976,0.8623245,0.7087668,0.52379847,0.72582185,0.7348951,0.78288543,0.7646314,0.75279343,0.59277296,0.72524524,0.78648424,0.80190545,0.71393824,0.7461506,0.71817386,0.77301383,0.8510046,0.754145,0.78511506,0.70701647,0.7320846,0.7208671,0.75397563,0.7964114,0.76013446,0.6780707,0.64414775,0.7484594,0.81999874,0.81296444,0.71222556,0.7118658,0.7427547,0.8524024,0.7704425,0.7425624,0.8049822,0.84780276,0.86787415,0.6502251,0.7513466,0.7656856,0.5889747,0.7043168,0.6544225,0.86860603,0.71987104
12.jpg,0.69603145,0.782946,0.8623245,1.0,0.8346566,0.6040919,0.8371645,0.8450093,0.81586385,0.7293753,0.788187,0.4941684,0.69498134,0.74909604,0.75769866,0.69211435,0.74866366,0.6962885,0.82334965,0.7938323,0.72752047,0.8306215,0.70804346,0.83051145,0.74158084,0.84588635,0.7792947,0.76071656,0.64417356,0.5844115,0.8535303,0.9038887,0.73186064,0.7489505,0.84751433,0.7374053,0.7795487,0.7265689,0.69177145,0.72918224,0.7779701,0.81721234,0.6199731,0.72203636,0.73709583,0.6598836,0.7133632,0.68032193,0.8791939,0.6892961
13.jpg,0.8003253,0.7734079,0.7087668,0.8346566,0.99999976,0.61004364,0.7838274,0.78631413,0.7647634,0.62516797,0.79939085,0.42192826,0.64784575,0.6597621,0.67482436,0.6011387,0.78175724,0.7003583,0.8107616,0.7277972,0.6592709,0.80323535,0.7059672,0.8511613,0.70973897,0.835001,0.7165447,0.72804356,0.6072457,0.5190461,0.80717885,0.7835526,0.61489654,0.80901605,0.79344404,0.70224196,0.67623055,0.64307904,0.6310339,0.614942,0.65671253,0.7320459,0.5760324,0.63387036,0.7050051,0.7531632,0.72012824,0.6491538,0.8202685,0.61793804
14.jpg,0.49693763,0.6327629,0.52379847,0.6040919,0.61004364,0.9999999,0.6106143,0.6491783,0.6085114,0.4951921,0.5161823,0.31901827,0.51806986,0.5332226,0.53495634,0.5014732,0.5130669,0.5569973,0.53689736,0.52617514,0.5437976,0.59176576,0.5526384,0.56133944,0.6410605,0.60783565,0.5272352,0.58005714,0.48310375,0.41080642,0.5774195,0.63036144,0.518765,0.5928941,0.61813647,0.53602856,0.5628131,0.5114454,0.57159173,0.5102391,0.5230584,0.53624475,0.48629373,0.51111376,0.5669139,0.52664,0.5631358,0.5793117,0.6023941,0.4933715
15.jpg,0.66831946,0.7476858,0.72582185,0.8371645,0.7838274,0.6106143,1.0,0.78778434,0.7892972,0.61811256,0.80663276,0.43419498,0.5980557,0.651134,0.6635208,0.58441436,0.69790226,0.6567628,0.7529546,0.6343764,0.6482811,0.7321063,0.6576097,0.75410163,0.7151054,0.77391684,0.656249,0.66497076,0.5453007,0.48306584,0.7732569,0.80624413,0.62847966,0.70127773,0.79240453,0.6953333,0.672392,0.60650206,0.5981364,0.62111557,0.6488711,0.7172847,0.5080446,0.6147691,0.71400225,0.7207838,0.6619381,0.5608989,0.7589386,0.56194794
16.jpg,0.6455481,0.76771975,0.7348951,0.8450093,0.78631413,0.6491783,0.78778434,0.99999976,0.76700354,0.72532415,0.76240885,0.5158447,0.69329077,0.69077635,0.7028526,0.6444853,0.7308881,0.6376953,0.7179738,0.70937407,0.7056477,0.81967497,0.799561,0.72263646,0.675627,0.8474263,0.72666407,0.77576065,0.6690262,0.5976098,0.8974795,0.82264817,0.7331624,0.6894101,0.77179444,0.7146603,0.71160346,0.6632026,0.69965076,0.69398713,0.7291235,0.75244343,0.6313436,0.63528454,0.71795046,0.6335665,0.7248657,0.6532124,0.83189154,0.66061056
17.jpg,0.69266915,0.8185309,0.78288543,0.81586385,0.7647634,0.6085114,0.7892972,0.76700354,1.0,0.65976113,0.7071439,0.4793971,0.61414665,0.6855372,0.6892145,0.59131604,0.67333674,0.7275856,0.78952235,0.7134119,0.65216035,0.75212157,0.6862235,0.83545566,0.7889396,0.7827649,0.68653905,0.7523518,0.6081501,0.5350001,0.74949515,0.7736968,0.66697717,0.78432715,0.79044396,0.7323793,0.7088046,0.70472884,0.67734927,0.70174176,0.6958633,0.75243735,0.6224748,0.6671097,0.79529023,0.68700844,0.62170815,0.6945648,0.794531,0.61196053
18.jpg,0.5290618,0.64134085,0.7646314,0.7293753,0.62516797,0.4951921,0.61811256,0.72532415,0.65976113,1.0,0.57751966,0.52896285,0.8371905,0.7104589,0.7692807,0.6629341,0.67657685,0.643299,0.63885456,0.7613106,0.7589867,0.7253665,0.71902215,0.60839534,0.624174,0.7265235,0.8280411,0.6267695,0.7950084,0.82858473,0.67689264,0.73553544,0.79630286,0.58827186,0.5815315,0.68292904,0.751678,0.8312448,0.76942766,0.82918245,0.8416223,0.79398865,0.6459081,0.66695905,0.64138293,0.53212667,0.7279275,0.7417308,0.7556894,0.8051122
